title,poet,poem
নগ্ন নির্জন হাত,জীবনানন্দ দাশ,
নদীপারের মেয়ে,কাজী নজরুল ইসলাম,"নদীপারের মেয়ে!
ভাসাই আমার গানের কমল তোমার পানে চেয়ে।
আলতা-রাঙা পা দুখানি ছুপিয়ে নদী-জলে
ঘাটে বসে চেয়ে আছ আঁধার অস্তাচলে।
নিরুদ্দেশে ভাসিয়ে-দেওয়া আমার কমলখানি
ছোঁয় কি গিয়ে নিত্য সাঁঝে তোমার চরণ, রানি?
  
                       নদীপারের মেয়ে!
গানের গাঙে খুঁজি তোমায় সুরের তরি বেয়ে।
খোঁপায় গুঁজে কনক-চাঁপা, গলায় টগর-মালা,
হেনার গুছি হাতে বেড়াও নদীকূলে বালা।
শুনতে কি পাও আমার তরির তোমায়-চাওয়া গীতি?
ম্লান হয়ে কি যায় ও-চোখে চতুর্দশীর তিথি?
  
                       নদীপারের মেয়ে!
আমার ব্যথার মালঞ্চে ফুল ফোটে তোমায়-চেয়ে।
শীতল নীরে নেয়ে ভোরে ফুলের সাজি হাতে,
রাঙা উষার রাঙা সতিন দাঁড়ায় আঙিনাতে।
তোমার মদির শ্বাসে কি মোর গুলের সুবাস মেশে?
আমার বনের কুসুম তুলি পর কি আর কেশে?
  
                       নদীপারের মেয়ে!
আমার কমল অভিমানের কাঁটায় আছে ছেয়ে!
তোমার সখায় পূজ কি মোর গানের কমল তুলি?
তুলতে সে-ফুল মৃণাল-কাঁটায় বেঁধে কি অঙ্গুলি?
ফুলের বুকে দোলে কাঁটার অভিমানের মালা,
আমার কাঁটার ঘায়ে বোঝ আমার বুকের জ্বালা?"
নলিনী,রবীন্দ্রনাথ ঠাকুর,"লীলাময়ী নলিনী,
চপলিনী নলিনী,
শুধালে আদর করে
ভালো সে কি বাসে মোরে,
কচি দুটি হাত দিয়ে
ধরে গলা জড়াইয়ে,
হেসে হেসে একেবারে
ঢলে পড়ে পাগলিনী!
ভালো বাসে কি না, তবু
বলিতে চাহে না কভু
নিরদয়া নলিনী!
যবে হৃদি তার কাছে,
প্রেমের নিশ্বাস যাচে
চায় সে এমন করে
বিপাকে ফেলিতে মোরে,
হাসে কত, কথা তবু কয় না!
এমন নির্দোষ ধূর্ত
চতুর সরল,
ঘোমটা তুলিয়া চায়
চাহনি চপল
উজল অসিত-তারা-নয়না!
অমনি চকিত এক হাসির ছটায়
ললিত কপোলে তার গোলাপ ফুটায়,
তখনি পলায় আর রয় না!"
নশ্বর,সুনীল গঙ্গোপাধ্যায়,"কখনো কখনো মনে হয়, নীরা, তুমি আমার
জন্মদিনের চেয়েও দূরে--
তুমি পাতা-ঝরা অরণ্যে একা একা হেঁটে চলো
তোমার মসৃণ পায়ের নিচে পাতা ভাঙার শব্দ
দিগন্তের কাছে মিশে আছে মোষের পিঠের মতন
                                               পাহাড়
জয়ডঙ্কা বাজিয়ে তার আড়ালে ডুবে গেল সূর্য
এসবই আমার জন্মদিনের চেয়েও দূরের মনে হয় ।

কখনো কখনো আকাশের দিকে তাকালে চোখে পড়ে
নক্ষত্রের মৃত্যু
মনের মধ্যে একটা শিহরন হয়
চোখ নেমে আসে ভূ-প্রকৃতির কাছে ;
সেই সব মুহূর্তে, নীরা, মনে হয়
নশ্বরতার বিরুদ্ধে একটা যুদ্ধে নেমে পড়ি
তোমার বাদামী মুষ্টিতে গুঁজে দিই স্বর্গের পতাকা
পৃথিবীময় ঘোষণা করে দিই, তোমার চিবুকে
                                ঐ অলৌকিক আলো
                                চিরকাল থমকে থাকবে !

তখন বহুদূর পাতা-ঝরা অরণ্যে দেখতে পাই
              তোমার রহস্যময় হাসি-
তুমি জানো, সন্ধেবেলার আকাশে খেলা করে সাদা পায়রা
তারাও অন্ধকারে মুছে যায়, যেমন চোখের জ্যোতি--এবং পৃথিবীতে
                               এত দুঃখ
মানুষের দুঃখই শুধু তার জন্মকালও ছাড়িয়ে যায় ।"
নষ্ট,সৈয়দ শামসুল হক,
নাতিশীতোষ্ণ মণ্ডলের সৈকতে,শামসুর রাহমান,"আমার ভেতর থেকে আশ্চর্য এক যুবক
সামুরাই তরবারির ঝলসানির আঙ্গিকে
বেরিয়ে সরাসরি হেঁটে যায়
তোমার নিবাসে রাস্তার ভিড় আর
কোলাহলের চারদিকে পর্দা টেনে দিয়ে।
তুমি তাকে না দেখে
তাকাও এক স্তূপ ধূসরতার দিকে;
তোমার ভুরুর মাঝখানে দ্বিধাদ্বন্দ্বের দোলক।

এই হাত দুটো আমার, দেখ এই
এক জোড়া চোখ, এই ওষ্ঠ আমার;
শোনো, বুকের এই ধুকপুকুনি আমার-এক স্তূপ ধূসরতা
ব্যাকুল কণ্ঠস্বর।

সেই কণ্ঠস্বর তোমার হৃদয়কে স্পর্শ করেছে,
মনে হয় না। তুমি জানালার
বাইরে তাকিয়ে আছো, যেন একটি একটি করে গুনছ
পাখির পালক, জেনে নিতে চাইছ গাছের পাতার
রহস্য। তোমার উদাসীনতায় প্রতিহত
কণ্ঠস্বর আত্মসমর্পণ করে স্তব্ধতার হাতে।

কিছুতেই তোমাকে বুঝতে পারি না আমি,
যেমন একট বাই চার পাঁচবার পড়বার পরেও
তার মাথামুণ্ড কিছুই
বোধগম্য হয় না নিবিষ্ট পড়ুয়ার।

বলেই ফেলি তোমাকে ঘিরে অষ্ট প্রহরের
ছটফটানি আমার ছুটির দরখাস্ত
দাখিল করেছে দিনের আলোকরশ্মি আর নক্ষত্রের কাছে
এবং আমার ভালোবাসা
গ্রীষ্মমণ্ডল ছেড়ে নাতিশীতোষ্ণ মণ্ডলের
সৈকতের চিকচিকে বালিতে শুয়ে রোদ পোহায়।"
নাম ধরে ডেকে যাবো,শামসুর রাহমান,"একবার বাগে পেলে আমাকে মাটিতে ফেলে যারা
আদিম হিংস্রতা নিয়ে খোঁচাবে বল্লমে, নিষ্ঠীবন
ছিটোবে বিস্তর মুখে এবং চুলের মুঠি ধরে
হিড় হিড় টেনে নিয়ে যাবে গোরস্তানে কিংবা হৈ হৈ
নাচবে আমাকে ঘিরে, কী অবাক কাণ্ড, তুমি আজ
তাদেরই শিবিরে মক্ষিরাণী হয়ে আছো সগৌরবে।
দৈবক্রমে দেখা হলো আমাদের বিপন্ন বেলায়,
সবকিছু জেনে শুনে একটি গোলাপ, হৃদয়ের
রক্তসেচে ফুটে-ওঠা, দিলাম তোমার করতলে
নির্দ্বিধায়। তুমিও আমার চোখে চোখ রেখে কী-যে
আবৃত্তি করলে হে মধুরতমা টীকাভাষ্যহীন,
ফুটলো অপূর্ব মুদ্রা অন্তরঙ্গ আঙ্গিকে নীরবে।

কথা বলি পরস্পর, মাঝে মাঝে নেপথ্যে ভ্রমণ
অবেলায়, হাতে তুলে নিই হাত, তোমার ঠোঁটের
কোমলতা পাইটের কখনো হঠাৎ আলগোছে।
আমাদের কোথায় যে নিয়ে যাবে শেষ তক এই
চোরা টান; আপাতত বুঝি না কিছুই শুধু চেয়ে
থাকি সারাক্ষণ মুগ্ধাবেশে তোমার মুখের দিকে।

এরকম তাকিও না, বলে তুমি কপট শাসনে
জ্বলে ওঠো একরাশ নক্ষত্রের মতো, পরে ফের
আমার পাঁজর ঘেঁষে চলে এসে নিমেষে বুঝিয়ে
দাও কাকে বলে ভালোবাসা। তোমার ত্বকের মৃদু
উত্তাপ ছড়িয়ে পড়ে শিরায় শিরায় কী মদির।
নীরবতা গান হয়ে ওঠে, অপরূপ উন্মীলন।

তুমিতো দুপুরে আছো, গোধূলিতে আমি। কখন যে
সত্তা চিরে বেজে ওঠে মরাল সঙ্গীত, জানা নেই।
আমরা দু’জন অসহায় চলেছি বিরূপ স্রোতে
ভেসে, তীর খুঁজে খুঁজে ক্লান্ত চোখ, তবু আশা রাখি
অন্ধকার ঘনিয়ে এলেও হয়তো উদ্ধারের রূপে
উঠবে জেগে অকপটে দুর্নিবার তোমার পূর্ণিমা

এভাবে কি যাবে দিন চিরদিন? ভয়ে ভয়ে থাকি,
স্থানাভাবে পথে পথে ঘুরি চুপিসারে, মাঝে মাঝে
সব কিছু তাচ্ছিল্যের ফুঁয়ে হাওয়ায় উড়িয়ে চলি
হাত ধরে এ শহরে। কখনো কখনো ভাবি, তুমি
আমাকে নিভিয়ে কোনোদিন হঠাৎ যাবে কি চলে
উজাড় বাগান ছেড়ে হে আমার সর্বশেষ ফুল?

যদি যাও, কেয়ামত হয়ে যাবে। পারমাণবিক
ভস্মস্তূপে নিমজ্জিত আমি চাইবো চিৎকারে সাড়া
জাগাতে, অথচ সেই আর্তনাদ শোনার মতন
কেউ বেঁচে থাকবে না আর। হাশরের ময়দানে
কেউ কারো ফরিয়াদ শুনতে চায় না, তবু জেনো
খুঁজবো তোমাকে, নাম ধরে ডেকে যাবো নিরন্তর।"
নারীসবিতা,জীবনানন্দ দাশ,"আমরা যদি রাতের কপাট খুলে ফেলে এই পৃথিবীর নীল সাগরের বারে
প্রেমের শরীর চিনে নিতাম চারিদিকের রোদের হাহাকারে,–
হাওয়ায় তুমি ভেসে যেতে দখিণ দিকে– যেই খানেতে যমের দুয়ার আছে;
অভিচারী বাতাসে বুক লবণ– বিলুন্ঠিত হলে আবার মার কাছে
উৎরে এসে জানিয়ে দিতে পাখিদেরও স্খলন আছে।
আমরা যদি রাতের কপাট খুলে দিতাম নীল সাগরের দিকে,
বিষণ্নতার মুখর কারুকার্যে বেলা হারিয়ে যেত জ্যোতির মোজেয়িকে।

দিনের উজান রোদের ঢলে যতটা দূরে আকাশ দেখা যায়
তোমার পালক শাদা হয়ে অমেয় নীলিমায়
ঐ পৃথিবীর সাটিনপরা দীর্ঘ গড়ন নারীর মতো– তবুও তো এক পাখি;
সকল অলাত এইতিহাসের হৃদয় ভেঙ্গে বৃহৎ সবিতা কি!
যা হয়েছে যা হতাছে সকল পরখ এইবারেতে নীল সাগরের নীড়ে
গুঁড়িয়ে সূর্যনারী হলো, অকূল পাথার পাখির শরীরে।
গভীর রৌদ্রে সীমান্তের এই ঢেউ– অতিবেল সাগর, নারি, শাদা
হতে–হতে নীলাভ হয়;– প্রেমের বিসার, মহিয়সী, ঠিক এ–রকম আধা
নীলের মতো, জ্যোতির মতো। মানব ইতিহাসের আধেক নিয়ন্ত্রিত পথে
আমরা বিজোড়; তাই তো দুধের–বরণ–শাদা পাখির জগতে
অন্ধকারের কপাট খুলে শুকতারাকে চোখে দেখার চেয়ে
উড়ে গেছি সৌরকরের সিঁড়ির বহিরাশ্রয়িতা পেয়ে।

অনেক নিমেষ অই পৃথিবীর কাঁটা গোলাপ শিশিরকণা মৃতের কথা ভেবে
তবু আরো অনন্তকাল ব’সে থাকা যেত; তবু সময় কি তা দেবে।
সময় শুধু বালির ঘড়ি সচল ক’রে বেবিলনের দুপুরবেলার পরে
হৃদয় নিয়ে শিপ্রা নদীর বিকেলবেলা হিরণ সূর্যকরে
খেলা ক’রে না ফুরোতেই কলকাতা রোম বৃহৎ নতুন নামের বিনিপাতে
উড়ে যেতে বলে আমার তোমার প্রাণের নীল সাগরের সাথে।"
নার্গিসকে লেখা কবি নজরুলের প্রথম ও শেষ পত্র,কাজী নজরুল ইসলাম,"কল্যাণীয়াসু,

তোমার পত্র পেয়েছি সেদিন নব বর্ষার নবঘন-সিক্ত প্রভাতে। মেঘ মেদুর গগনে সেদিন অশান্ত ধারায় বারি ঝরছিল। পনের বছর আগে এমনই এক আষাঢ়ে এমনই এক বারিধারায় প্লাবন নেমেছিল– তা তুমিও হয়তো স্মরণ করতে পারো। আষাঢ়ের নবমেঘপুঞ্জকে আমার নমস্কার। এই মেঘদূত বিরোহী যক্ষের বাণী বহন করে নিয়ে গিয়েছিল কালিদাসের যুগে, রেবা নদীর তীরে, মালবিকার দেশে, তার প্রিয়ার কাছে। এই মেঘপুঞ্জের আশীর্বাণী আমার জীবনে এনে দেয় চরম বেদনার সঞ্চার। এই আষাঢ় আমায় কল্পনার স্বর্গলোক থেকে টেনে ভাসিয়ে দিয়েছে বেদনার অনন্ত স্রোতে। যাক, তোমার অনুযোগের অভিযোগের উত্তর দিই। তুমি বিশ্বাস করো, আমি যা লিখছি তা সত্য। লোকের মুখে শোনা কথা দিয়ে যদি আমার মূর্তির কল্পনা করে থাকো, তাহলে আমায় ভুল বুঝবে- আর তা মিথ্যা।

তোমার ওপর আমি কোনো ‘জিঘাংসা’ পোষণ করি না –এ আমি সকল অন্তর দিয়ে বলছি। আমার অন্তর্যামী জানেন তোমার জন্য আমার হৃদয়ে কী গভীর ক্ষত, কী অসীম বেদনা! কিন্তু সে বেদনার আগুনে আমিই পুড়েছি —তা দিয়ে তোমায় কোনোদিন দগ্ধ করতে চাইনি। তুমি এই আগুনের পরশ মানিক না দিলে আমি ‘অগ্নিবীণা’ বাজাতে পারতাম না—আমি ধূমকেতুর বিস্ময় নিয়ে উদিত হতে পারতাম না। তোমার যে কল্যাণরূপ আমি আমার কিশোর বয়সে প্রথম দেখেছিলাম, যে রূপকে আমার জীবনের সর্বপ্রথম ভালবাসার অঞ্জলি দিয়েছিলাম, সে রূপ আজও স্বর্গের পারিজাত-মন্দারের মতো চির অম্লান হয়েই আছে আমার বক্ষে। অন্তরের সে আগুন- বাইরের সে ফুলহারকে স্পর্শ করতে পারেনি।

তুমি ভুলে যেও না আমি কবি—আমি আঘাত করলেও ফুল দিয়ে আঘাত করি। অসুন্দর কুৎসিতের সাধনা আমার নয়। আমার আঘাত বর্বরের কাপুরুষের আঘাতের মতো নিষ্ঠুর নয়। আমার অন্তর্যামী জানেন (তুমি কী জান বা শুনেছ জানি না) তোমার বিরুদ্ধে আজ আমার কোনো অনুযোগ নেই, অভিযোগ নেই, দাবিও নেই।

তোমার আজিকার রূপ কী জানি না। আমি জানি তোমার সেই কিশোরী মূর্তিকে, যাকে দেবী মূর্তির মতো আমার হৃদয়বেদীতে অনন্ত প্রেম, অনন্ত শ্রদ্ধার সঙ্গে প্রতিষ্ঠা করতে চেয়েছিলাম। সেদিনের তুমি সে বেদী গ্রহণ করলে না। পাষাণ দেবীর মতোই তুমি বেছে নিলে বেদনার বেদিপাঠ …জীবন ভরে সেখানেই চলেছে আমার পূজা আরতি। আজকার তুমি আমার কাছে মিথ্যা, ব্যর্থ; তাই তাকে পেতে চাইনে। জানিনে হয়তো সে রূপ দেখে বঞ্চিত হব, অধিকতর বেদনা পাব,-তাই তাকে অস্বীকার করেই চলেছি।

দেখা? না-ই হলো এ ধূলির ধরায়। প্রেমের ফুল এ ধূলিতলে হয়ে যায় ম্লান, দগ্ধ , হতশ্রী। তুমি যদি সত্যিই আমায় ভালোবাস, আমাকে চাও ওখান থেকেই আমাকে পাবে। লাইলি মজনুকে পায়নি, শিরি ফরহাদকে পায়নি, তবু তাদের মতো করে কেউ কারো প্রিয়তমাকে পায়নি। আত্মহত্যা মহাপাপ, এ অতি পুরাতন কথা হলেও প্রেম সত্য। আত্মা অবিনশ্বর, আত্মাকে কেউ হত্যা করতে পারে না। প্রেমের সোনার কাঠির স্পর্শ যদি পেয়ে থাকো, তাহলে তোমার মতো ভাগ্যবতী আর কে আছে? তারই মায়াস্পর্শে তোমার সকল কিছু আলোয় আলোময় হয়ে উঠবে। দুঃখ নিয়ে একঘর থেকে অন্য ঘরে গেলেই সেই দুঃখের অবসান হয় না। 

মানুষ ইচ্ছা করলে সাধনা দিয়ে, তপস্যা দিয়ে ভুলকে ফুল রূপে ফুটিয়ে তুলতে পারে। যদি কোনো ভুল করে থাকো জীবনে, এই জীবনেই তাকে সংশোধন করে যেতে হবে; তবেই পাবে আনন্দ মুক্তি; তবেই হবে সর্বদুঃখের অবসান । নিজেকে উন্নত করতে চেষ্টা করো, স্বয়ং বিধাতা তোমার সহায় হবেন। আমি সংসার করছি, তবু চলে গেছি এই সংসারের বাধাকে অতিক্রম করে ঊর্ধ্বলোকে সেখানে গেলে পৃ্থিবীর সকল অপূর্ণতা, সকল অপরাধ ক্ষমা-সুন্দর চোখে পরম মনোহর মূর্তিতে দেখা যায়।

হঠাৎ মনে পড়ে গেল পনের বছর আগের কথা। তোমার জ্বর হয়েছিল, বহু সাধনার পর আমার তৃষিত দুটি কর তোমার শুভ্র ললাট স্পর্শ করতে পেরেছিল; তোমার তপ্ত ললাটের স্পর্শ যেন আজও অনুভব করতে পারি। তুমি কি চেয়ে দেখেছিলে? আমার চোখে ছিল জল, হাতে সেবা করার আকুল স্পৃহা, অন্তরে শ্রী বিধাতার চরণে তোমার আরোগ্য লাভের জন্য করুণ মিনতি। মনে হয় যেন কালকের কথা। মহাকাল যে স্মৃতি মুছে ফেলতে পারল না। কী উদগ্র অতৃপ্তি, কী দুর্দমনীয় প্রেমের জোয়ারই সেদিন এসেছিল। সারাদিন-রাত আমার চোখে ঘুম ছিল না।

যাক আজ চলেছি জীবনের অস্তমান দিনের শেষে রশ্মি ধরে ভাটার স্রোতে, তোমার ক্ষমতা নেই সে পথ থেকে ফেরানোর। আর তার চেষ্টা করো না। তোমাকে লিখা এই আমার প্রথম ও শেষ চিঠি হোক। যেখানেই থাকি বিশ্বাস করো আমার অক্ষয় আশীর্বাদ কবচ তোমায় ঘিরে থাকবে। তুমি সুখী হও, শান্তি পাও— এই প্রার্থনা। আমায় যত মন্দ বলে বিশ্বাস করো, আমি তত মন্দ নই –এই আমার শেষ কৈফিয়ত।

ইতি

নিত্য শুভার্থী-"
নিজেকে নিয়মে ক্ষয়,জীবনানন্দ দাশ,"নিজেকে নিয়মে ক্ষয় ক’রে ফেলে রোজই
চ’লেছে সময়;
তবুও স্থিরতা এক র’য়ে গেছে,
সময় ক্ষয়ের মতো নয়।

 
অঘ্রাণের সকালের আব্‌ছা আভার
মতন অসংখ্য কুয়াশায়,
আশ্বিনে আকাশ রোদ মাঠের ভিতরে,
নদীর বিস্তীর্ণ জলে, অথবা ঝড়ের বড় ভোরে,
শীতকালে সুস্থির বিকেলে,
মনে হয় আজ
পৃথিবী অনেক মূল্য, সত্য ভুলে গেছে;

 
সত্যে স্থির হয়ে আছে টের পাই তবুঃ
তোমার আমার নীড় প্রকৃতির পর্দার থেকে ভেসে চোখে
একটি অমেয় মূল্যে যতদিন আলো ক্ষয় হতেছে আলোকে।"
নিজের বিষয়ে,শামসুর রাহমান,"নিজের বিষয়ে আমি কস্মিনকালেও খুব বেশি
ভাবি না, বিশ্বাস করো। মাঝে-মধ্যে ভাবি এ জীবন
চাকরিত্বে অন্তরীণ, ভীষণ নাছোড় অনটন
সর্বক্ষণ, যদিও ধনিক সংঘে কিছু ঘেঁষাঘেঁষি
করি, আর নিজেরই সংসারে অনবোলা পরদেশী
হয়ে থাকি, শ্যামলিম মফস্বলে কবি-সম্মেলন
হলে যাই কালেভদ্রে, মনে পড়ে আমার এ মন
কেড়েছিলো সে কখন নবীনা সুস্মিতা এলোকেশী।

অকুন্ঠ কবুল করি, আমার জীবনে নেই কোনো
রঙিন চমক কিংবা বীরোচিত কর্মযোগ, শোভা
নেই অসামান্য, তবে আমার দর্পণে ভেসে ওঠে
অসুখী করুণ বিদূষক আর কখনো সখনো
আমার নিমগ্ন সত্তা অন্ধকারে খুনীর বাহবা
পেয়ে যায়, মাঝে মাঝে সন্তের ভঙ্গিও কিছু ফোটে।"
নিঝুম বৃষ্টির সুর,শামসুর রাহমান,"সাঁওতাল রমণীর মতো যে অন্ধকার
দিগন্তে স্তব্ধ,
তা’ এখন শহরের ওপর খুব নীচু হ’য়ে
ঝুঁকে পড়েছে; ওর নিঃশ্বাস
অনুভব করি ত্বকে। থমথমে গুমোট-ছেঁড়া
হাওয়ায় ঈষৎ শৈত্য; শহরের চোখের পলক
না পড়তেই বাতাসের
প্রচণ্ড মাতলামি, নিমেষে হাজার হাজার
দরজা জানালা বন্ধ। আকাশ ফুটো করে
বৃষ্টি এল অগণিত ঘোড়সওয়ারের মতো আওয়াজে।
মেঘের বুকে বিদ্যুৎ-তরবারির
ঝলসানি, কানফাটানো বাজের শব্দ!

একটানা বৃষ্টির সুর ঝরে শিশুপল্লীর ছাদে,
গোশালার টিনে, রাধাচূড়া গাছের পাতায়,
নিঝুম বৃষ্টির সুর ঝরে
হতশ্রী বস্তির খোলার ঘরে আর
শহরের উঁচকপালে এলাকায়,
ঘুমের ভেতরে, অবচেতন মনের খনিতে।
বৃষ্টির সুর ঝরে আমাদের ভালোবাসার ওপর,
আমাদের মিলন এবং হু হু বিচ্ছেদের ওপর।

আমাদের স্বপ্নেরা বৃষ্টির জালে আট্‌কা পড়ে
ছটফট করে চকচকে রূপালি মাছের মতো।
আমি আমার ছোট ঘরে বসে আছি
একা এবং নিশ্চুপ-
আমার মাথায় বৃষ্টির শব্দময় শব্দহীনতা আর
একটি হয়ে-উঠতে-চাওয়া কবিতার
অস্পষ্ট মেঘমল্লার এবং
তোমার স্মৃতির মোহন কম্পন।

তুমি অন্ধকার বারান্দায় একাকিনী বসে দেখছো
বৃষ্টি কোমল চুমো খাচ্ছে আম গাছের পাতার ঠোঁটে।
তোমার নিঃসঙ্গতাকে স্পর্শ করে
নিঝুম বৃষ্টির সুর। আমার শূন্য বিছানা
ভেলার মতো ভাসমান অথৈ বেদনায়।
তোমার এবং আমার
হাতে মাঝখানে জলজ দেয়াল। কে যেন
বাইরে দাঁড়িয়ে ক্রমাগত পান করে চলেছে শ্রাবণের আরক।

যখন বৃষ্টি দেখি, তোমার প্রগাঢ় চোখের অশ্রুজল
মনে পড়ে আর তোমার চোখের জলে শ্রাবণধারা খুঁজে পাই।"
নিদ্রিতা,রবীন্দ্রনাথ ঠাকুর,"একদা রাতে নবীন যৌবনে
               স্বপ্ন হতে উঠিনু চমকিয়া,
বাহিরে এসে দাঁড়ানু একবার---
               ধরার পানে দেখিনু নিরখিয়া ।
শীর্ণ হয়ে এসেছে শুকতারা,
               পূর্বতটে হতেছে নিশিভোর ।
আকাশকোণে বিকাশে জাগরণ,
               ধরণীতলে ভাঙে নি ঘুমঘোর ।
সমুখে প'ড়ে দীর্ঘ রাজপথ,
               দু ধারে তারি দাঁড়ায়ে তরুসার,
নয়ন মেলি সুদূর-পানে চেয়ে
               আপন-মনে ভাবিনু একবার---
অরুণ-রাঙা আজি এ নিশিশেষে
               ধরার মাঝে নূতন কোন্ দেশে
দুগ্ধফেনশয়ন করি আলা
               স্বপ্ন দেখে ঘুমায়ে রাজবালা ।।

অশ্ব চড়ি তখনি বাহিরিনু,
               কত যে দেশ বিদেশ হনু পার !
একদা এক ধূসরসন্ধ্যায়
               ঘুমের দেশে লভিনু পুরদ্বার ।
সবাই সেথা অচল অচেতন,
               কোথাও জেগে নাইকো জনপ্রাণী,
নদীর তীরে জলের কলতানে
               ঘুমায়ে আছে বিপুল পুরীখানি ।
ফেলিতে পদ সাহস নাহি মানি,
               নিমেষে পাছে সকল দেশ জাগে ।
প্রাসাদ মাঝে পশিনু সাবধানে,
               শঙ্কা মোর চলিল আগে আগে ।
ঘুমায় রাজা, ঘুমায় রানীমাতা,
               কুমার-সাথে ঘুমায় রাজভ্রাতা ।
একটি ঘরে রত্নদীপ জ্বালা,
               ঘুমায়ে সেথা রয়েছে রাজবালা ।।
কমলফুল বিমল শেজখানি,
               নিলীন তাহে কোমল তনুলতা ।
মুখের পানে চাহিনু অনিমেষে,
               বাজিল বুকে সুখের মত ব্যাথা ।
মেঘের মত গুচ্ছ কেশরাশি
               শিথান ঢাকি পড়েছে ভারে ভারে ।
একটি বাহু বক্ষ-'পরে পড়ি,
               একটি বাহু লুটায় এক ধারে ।
আঁচলখানি পড়েছে খসি পাশে,
               কাঁচলখানি পড়িবে বুঝি টুটি---
পত্রপুটে রয়েছে যেন ঢাকা
               অনাঘ্রাত পূজার ফুল দুটি ।
দেখিনু তারে, উপমা নাহি জানি---
               ঘুমের দেশে স্বপন একখানি,
পালঙ্কেতে মগন রাজবালা
               আপন ভরা লাবণ্যে নিরালা ।।"
নিয়ত স্পন্দিত,শামসুর রাহমান,"আমাকে টপ্‌কে তুমি যাও হে কোথায়? খাও টক
কুল ভর সন্ধ্যেবেলা। বই মেলায় যাবে বুঝি আজ
বাসন্তী রঙের শাড়ি প’রে? চায়ের দোকানে ব’সে
গল্মগুজবের স্রোতে ভেসে-যাওয়া, ফুচ্‌কা খাওয়া,
কখনও একটি দু’টি বই কেনা ফিরতি পথে, তুমি
জানবে না একজন কবি তোমাকে না দেখে দুঃখে
একা ঘরে কাটায় সময় বোদলেয়ারের সঙ্গে,
কখনও বা উদাস তাকিয়ে থাকে নক্ষত্রের দিকে,

বুকে তার এক রাশ অন্ধকার, সেখানে ফোটে না
এমুহূর্তে কিছুতেই ফুল কিংবা তারা। দাঁড়াশের
ছোবলে কাতর তার বিবাগী অন্তর; ঘরে ফিরে
জামা টামা খুলবে যখন পড়বে কি মনে তাকে,
যে তোমাকে হৃদয়ে রেখেছে ভ’রে অত্যন্ত গোপনে,
প্রতিটি নিঃশ্বাসে যার তুমি নিয়ত স্পন্দিত, মেয়ে।"
নিরালোক,জীবনানন্দ দাশ,"একবার নক্ষত্রের দিকে চাই — একবার প্রান্তরের দিকে
আমি অনিমিখে।
ধানের ক্ষেতের গন্ধ মুছে গেছে কবে
জীবনের থেকে যেন; প্রান্তরের মতন নীরবে
বিচ্ছিন্ন খড়ের বোঝা বুকে নিয়ে ঘুম পায় তার;
নক্ষত্রেরা বাতি জ্বেলে জ্বেলে — জ্বেলে — ‘নিভে গেলে — নিভে গেলে?’
বলে তারে জাগায় আবার;

জাগায় আবার।
বিক্ষত খড়ের বোঝা বুকে নিয়ে — বুকে নিয়ে ঘুম পায় তার,
ঘুম পায় তার।

অনেক নক্ষত্রে ভরে গেছে এই সন্ধ্যার আকাশ — এই রাতের আকাশ;
এইখানে ফাল্গুনের ছায়া-মাখা ঘাসে শুয়ে আছি;
এখন মরণ ভালো — শরীরে লাগিয়া রবে এই সব ঘাস;
অনেক নক্ষত্র রবে চিরকাল যেন কাছাকাছি।

কে যেন উঠিল হেঁচে–হামিদের মরখুটে কানা ঘোড়া বুঝি!
সারা দিন গাড়ি টানা হল ঢের — ছুটি পেয়ে জ্যোৎস্নায় নিজ মনে
খেয়ে যায় ঘাস;
যেন কোনো ব্যথা নাই? পৃথিবীতে — আমি কেন তবে মৃত্যু খুঁজি?
‘কেন মৃত্যু খোঁজো তুমি?’ চাপা ঠোঁটে বলে দূর কৌতুকী আকাশ।

ঝাউফুলে ঘাস ভরে — এখানে ঝাউয়ের নিচে শুয়ে আছি ঘাসের উপরে;
কাশ আর চোরকাঁটা ছেড়ে দিয়ে ফড়িং চলিয়া গেছে ঘরে।
সন্ধ্যার নক্ষত্র, তুমি বলো দেখি কোন্‌ পথে কোন্‌ ঘরে যাব!
কোথায় উদ্যম নাই, কোথায় আবেগ নাই — চিন্তা স্বপ্ন ভুলে গিয়ে 
শান্তি আমি পাব?
রাতের নক্ষত্র, তুমি বলো দেখি কোন্‌ পথে যাব?"
নিরাশ্রয় পাঁচটি আঙুল,হেলাল হাফিজ,"নিরাশ্রয় পাঁচটি আঙুল তুমি নির্দ্বিধায়
অলংকার করে নাও, এ আঙুল ছলনা জানে না ।
একবার তোমার নোলক, দুল, হাতে চুড়ি
কটিদেশে বিছা করে অলংকৃত হতে দিলে
বুঝবে হেলেন, এ আঙুল সহজে বাজে না ।

একদিন একটি বেহালা নিজেকে বাজাবে বলে
আমার আঙুল এসে দেখেছিলো
তার বিষাদের চেয়ে বিশাল বিস্তৃতি,
আমি তাকে চলে যেতে বলিনি তবুও
ফিরে গিয়েছিলো সেই বেহালা সলাজে ।

অসহায় একটি অঙ্গুরী
কনিষ্ঠা আঙুলে এসেই বলেছিলো ঘর,
অবশেষে সেও গেছে সভয়ে সলাজে ।

ওরা যাক, ওরা তো যাবেই
ওদের আর দুঃখ কতোটুকু? ওরা কি মানুষ?"
